"Sample";"contamination_score";"contamination_p_value";"Contamination";"median_insert_size";"median_exon_coverage_count";"pct_exon_50x_perc";"median_insert_size_guidelines";"median_exon_coverage_guidelines";"pct_exon_50x_guidelines";"unstable_msi_sites";"unstable_msi_sites_guidelines";"coverage_mad_count";"median_bin_count_cnv_target_count";"coverage_mad_guidelines";"median_bin_count_cnv_target_guidelines";"rna_median_cv__gene_500x_perc";"rna_total_on_target_reads_count";"rna_median_insert_size_count";"rna_median_cv__gene_500x_guidelines";"rna_total_on_target_reads_guidelines";"rna_median_insert_size_guidelines";"total_pf_reads";"mean_family_size";"median_target_coverage";"pct_chimeric_reads";"pct_exon_100x";"pct_read_enrichment";"pct_usable_umi_reads";"mean_target_coverage";"pct_aligned_reads";"pct_contamination_est";"pct_pf_uq_reads";"pct_target_04x_mean";"pct_target_100x";"pct_target_250x";"rna_pct_chimeric_reads";"rna_pct_on_target_reads";"rna_scaled_median_gene_coverage";"rna_total_pf_reads";"PCT_PF_READS_perc";"PCT_PF_READS_guidelines";"PCT_Q30_R1_perc";"PCT_Q30_R1_guidelines";"PCT_Q30_R2_perc";"PCT_Q30_R2_guidelines";"run"
"FM11";6931;0,027;1;95;457;99,3;1;1;1;109;1;0,165;6,8;1;1;50,47;28102018;123;1;1;1;181095934;5,9;448;0,36;98,7;80,3;99,9;457,6;97,1;9;100;95,8;97,9;91,4;0,16;93,7;6065,4;29995920;86;1;93,9;1;92;1;"210715_A01423_0008_AH35CWDRXY"
"SV16";7351;0,001;1;113;743;99,5;1;1;1;124;1;0,211;10,4;0;1;88,51;13950544;86;1;1;1;203816570;4,4;723;0,57;99,1;77,5;99,9;768,3;97,7;4,2;100;95,6;98,7;96,9;0,21;82,7;2187,1;16861832;86;1;93,9;1;92;1;"210715_A01423_0008_AH35CWDRXY"
"BB9";5031;0,044;1;96;537;99,3;1;1;1;119;1;0,151;7,8;1;1;53,23;28226195;106;1;1;1;102111904;2,6;528;0,47;98,6;76,3;99,9;553,7;94,9;4;100;94,9;97,7;93,7;0,15;94,1;5862;29997210;81,4;1;92,9;1;91,3;1;"210729_A01423_0009_AH33WGDRXY"
"MR-5_DNA";6119;0,006;1;115;1127;99,6;1;1;1;124;1;0,176;15,7;1;1;;;;;;;246704564;2,9;1095;2,09;99,4;61,6;99,9;1142,5;97;8;100;96,8;99,1;98,2;;;;;89;1;94,4;1;94,8;1;"211022_A01423_0010_AHGYFYDRXY"
"RE-7_DNA";5040;0;1;99;778;99,5;1;1;1;124;1;0,173;11,9;1;1;;;;;;;252807348;3,5;763;1,23;99,3;60,3;99,9;805,8;92,8;7,6;100;96,5;98,9;97,4;;;;;89;1;94,4;1;94,8;1;"211022_A01423_0010_AHGYFYDRXY"
"S1278_DNA";4071;0,006;1;105;817;99,3;1;1;1;118;1;0,173;12,1;1;1;;;;;;;215878654;3,7;792;0,52;98,8;69,3;99,9;795,5;96,6;7,2;100;95,4;98,3;96,4;;;;;89;1;94,4;1;94,8;1;"211022_A01423_0010_AHGYFYDRXY"
"82AP_DNA";7416;0,016;1;100;705;99,3;1;1;1;81;1;0,232;9,9;0;1;;;;;;;121963406;2,4;694;0,67;98,7;74,6;99,9;731,2;95,8;10,1;100;92,2;97,7;94,1;;;;;86,2;1;93,7;1;93,5;1;"211111_A01423_0011_AHH2Y2DRXY"
"S0490_DNA_FFT";3766;0;1;99;403;98,5;1;1;1;45;1;0,188;5,7;1;1;;;;;;;107124676;2,9;393;0,08;96,7;69,6;99,9;410,9;78,3;19,4;100;90;95,2;78,6;;;;;86,2;1;93,7;1;93,5;1;"211111_A01423_0011_AHH2Y2DRXY"
"S1366_DNA_FFT";4701;0;1;149;1137;99;1;1;1;115;1;0,29;13,6;0;1;;;;;;;108484138;1,8;1074;0,2;98,4;74,8;99,8;1182,3;97,7;7,9;100;79,8;97,9;92,9;;;;;86,2;1;93,7;1;93,5;1;"211111_A01423_0011_AHH2Y2DRXY"
